source_id,gcn_source_type,priority,selection_score,redshift,has_photometry_flux,n_photometry_flux_points,has_photometry_mag,n_photometry_mag_points,has_comments,n_comments,has_classification,n_classifications,has_spectra,n_spectra,has_followup_requests,n_followup_requests,has_associated_gcns,n_associated_gcns,has_annotations,n_annotations,has_phot_stat,has_summary,has_tns_info,bundle_endpoint_failures,bundle_complete
EP-250704_081653,ep,high,12,0.661,True,75,True,75,True,125,True,1,False,0,True,13,False,0,False,0,True,False,True,0,True
EP250304a,ep,high,11,0.2,True,8,True,8,True,8,True,3,False,0,True,3,False,0,False,0,True,True,True,0,True
EP250321a,ep,high,11,4.368,True,20,True,20,True,24,True,3,False,0,True,7,False,0,False,0,True,False,False,0,True
GCN-250704_034220,gcn,high,8,1.091,True,23,True,23,True,17,True,1,False,0,True,2,False,0,False,0,True,True,False,0,True
GCN-250706_170544,gcn,high,12,0.942,True,17,True,17,True,24,True,1,False,0,True,3,False,0,False,0,True,True,False,0,True
GCN-250812_024503,gcn,high,6,2.571,True,17,True,17,True,11,False,0,False,0,True,2,False,0,False,0,True,True,False,0,True
GCN-250813_225115,gcn,high,6,1.752,True,10,True,10,True,9,True,1,False,0,True,10,False,0,False,0,True,True,False,0,True
GCN-250818_032908,gcn,high,7,1.216,True,20,True,20,True,16,True,1,False,0,True,2,False,0,False,0,True,True,True,0,True
GCN-251013_173943,gcn,high,10,0.572,True,204,True,204,True,112,False,0,False,0,True,10,False,0,True,2,True,True,False,0,True
GCN-251025_142400,gcn,high,6,2.003,True,7,True,7,True,1,False,0,False,0,True,3,False,0,False,0,True,True,False,0,True
GCN-251222_170549,gcn,high,8,3.171,True,99,True,99,True,19,True,1,False,0,True,6,False,0,False,0,True,True,False,0,True
GCN-260509_215104,gcn,high,6,1.95,True,95,True,95,True,15,False,0,False,0,True,4,False,0,False,0,True,True,False,0,True
GCN-260511_110100,gcn,high,6,2.006,True,50,True,50,True,15,False,0,False,0,True,3,False,0,False,0,True,True,False,0,True
GCN-260515_190819,gcn,high,12,0.764,True,24,True,24,True,23,True,1,False,0,True,3,False,0,False,0,True,True,False,0,True
GRB-241025_013651,grb,high,12,4.2,True,26,True,26,True,24,True,2,False,0,True,13,False,0,False,0,True,True,False,0,True
GRB-250129_044509,grb,high,4,,False,0,False,0,True,2,True,3,False,0,False,0,False,0,False,0,False,False,False,4,False
GRB-250424_065229,grb,high,12,0.31,True,214,True,214,True,22,True,1,False,0,True,4,False,0,False,0,True,True,False,0,True
GRB-250617_210150,grb,high,8,1.396,True,182,True,182,True,10,True,1,False,0,False,0,False,0,False,0,True,True,False,0,True
GRB-250625_160457,grb,high,12,0.655,True,23,True,23,True,12,True,1,False,0,False,0,False,0,False,0,True,True,False,0,True
GRB-250702_210643,grb,high,8,1.52,True,59,True,59,True,17,True,1,False,0,True,1,False,0,False,0,True,True,True,0,True
GRB-250725_015136,grb,high,10,5.26,True,13,True,13,True,18,False,0,False,0,True,1,False,0,False,0,True,True,True,0,True
GRB-251017_084045,grb,high,7,4.327,True,3,True,3,True,1,False,0,False,0,False,0,False,0,False,0,True,True,False,0,True
GRB-251126_191037,grb,high,8,3.52,True,144,True,144,True,6,True,1,False,0,False,0,False,0,False,0,True,True,False,0,True
GRB241026,grb,high,6,2.791,True,27,True,27,True,17,False,0,False,0,True,4,False,0,False,0,True,True,False,0,True
GRB241030,grb,high,6,1.411,True,77,True,77,True,57,True,2,False,0,True,8,False,0,False,0,True,True,True,0,True
GRB250207A,grb,high,8,,True,8,True,8,True,4,True,4,False,0,False,0,False,0,False,0,True,True,False,0,True
GRB250221A,grb,high,12,0.768,True,52,True,52,True,40,True,3,False,0,True,6,False,0,False,0,True,True,False,0,True
GRB250226A,grb,high,8,3.315,True,27,True,27,True,20,True,3,False,0,True,3,False,0,False,0,True,True,True,0,True
GRB250309B,grb,high,7,1.898,True,17,True,17,True,17,True,2,False,0,True,5,False,0,False,0,True,True,True,0,True
GRB250317B,grb,high,9,3.44,True,12,True,12,True,19,True,4,False,0,False,0,False,0,False,0,True,True,False,0,True
GRB250319B,grb,high,7,,False,0,False,0,True,4,True,4,False,0,True,1,False,0,False,0,False,False,False,1,False
