field,n_present,n_non_empty,pct_non_empty
comment_exists,982,982,100.0
created_at,982,982,100.0
dec,982,982,100.0
gal_lat,982,982,100.0
gal_lon,982,982,100.0
groups,982,982,100.0
healpix,982,982,100.0
id,982,982,100.0
internal_key,982,982,100.0
is_roid,982,982,100.0
modified,982,982,100.0
offset,982,982,100.0
photometry_exists,982,982,100.0
ra,982,982,100.0
spectrum_exists,982,982,100.0
transient,982,982,100.0
varstar,982,982,100.0
origin,982,451,45.926680244399186
summary_history,982,384,39.10386965376782
summary,982,375,38.187372708757636
photstats,982,371,37.78004073319756
classifications,982,361,36.76171079429735
tags,982,296,30.14256619144603
alias,982,285,29.022403258655803
gcn_crossmatch,982,244,24.84725050916497
t0,982,224,22.810590631364562
redshift_history,982,106,10.79429735234216
angular_diameter_distance,982,102,10.386965376782078
dm,982,102,10.386965376782078
luminosity_distance,982,102,10.386965376782078
redshift,982,102,10.386965376782078
tns_info,982,84,8.55397148676171
tns_name,982,84,8.55397148676171
redshift_origin,982,44,4.480651731160896
redshift_error,982,22,2.240325865580448
annotations,982,3,0.3054989816700611
host_id,982,3,0.3054989816700611
host,407,2,0.20366598778004075
host_offset,407,2,0.20366598778004075
altdata,982,0,0.0
dec_dis,982,0,0.0
dec_err,982,0,0.0
detect_photometry_count,982,0,0.0
dist_nearest_source,982,0,0.0
e_mag_nearest_source,982,0,0.0
mag_nearest_source,982,0,0.0
mpc_name,982,0,0.0
ra_dis,982,0,0.0
ra_err,982,0,0.0
score,982,0,0.0
