source_id,profiles,name_pattern_class,has_t0,t0,n_redshift_versions,n_summary_versions,n_classifications,has_alias,has_tns_name,comment_exists,photometry_exists,spectrum_exists,created_at,modified,ra,dec,redshift,anchor_type,t0_from_id,id_timestamp,delta_id_created_s,t0_source,t0_uncertainty_hours,tier_status
2024abfo,grandma_base,other,False,,0,2,0,False,True,False,True,False,2024-11-16T12:40:55.262737,2024-11-16T22:40:53.476141,59.3567107692,-46.1854361538,,first_detection,,,,created_at_dossier_only,17572.1447668205,dossier_only
2024hdk,grandma_base,other,False,,0,0,0,False,True,True,False,False,2024-04-24T02:51:46.245650,2024-04-24T02:51:46.245650,130.62572356337,-15.599537838915,,first_detection,,,,created_at_dossier_only,17572.1447668205,dossier_only
2024hdr,grandma_base,other,False,,0,0,0,False,True,True,False,False,2024-04-24T04:12:12.561165,2024-04-24T04:12:12.561165,120.80455951605,-24.332682663095,,first_detection,,,,created_at_dossier_only,17572.1447668205,dossier_only
2024hiu,grandma_base,other,False,,0,0,0,False,True,True,True,False,2024-04-30T03:32:05.120525,2024-04-30T03:32:18.019659,126.19269,-33.12002,,first_detection,,,,created_at_dossier_only,17572.1447668205,dossier_only
2024hiw,grandma_base,other,False,,0,0,0,False,True,True,True,False,2024-04-30T03:18:07.913929,2024-04-30T03:21:03.554392,126.60655833333334,-24.034583333333334,,first_detection,,,,created_at_dossier_only,17572.1447668205,dossier_only
2025adgp,grandma_base,other,False,,0,0,0,True,True,False,False,False,2025-11-13T04:59:10.689526,2025-11-15T17:01:53.882396,26.942508,-51.823756,,first_detection,,,,created_at_dossier_only,17572.1447668205,dossier_only
2025adhf,grandma_base,other,False,,0,0,0,True,True,False,True,False,2025-11-13T12:59:40.990817,2025-11-17T17:00:05.215396,40.9349795,-55.3183185,,first_detection,,,,created_at_dossier_only,17572.1447668205,dossier_only
2025adhs,grandma_base,other,False,,0,0,0,True,True,False,False,False,2025-11-13T18:18:34.937617,2026-02-25T22:20:49.127336,63.234983,-54.196225,,first_detection,,,,created_at_dossier_only,17572.1447668205,dossier_only
2025adht,grandma_base,other,True,60260.63802083,0,0,1,True,True,True,True,False,2025-11-13T19:27:26.160266,2025-11-15T17:40:57.639703,180.1014602,49.0477645,,first_detection,,,,skyportal_t0,0,phase_matching
2025adhu,grandma_base,other,False,,0,0,0,True,True,False,True,False,2025-11-13T19:31:27.985597,2025-11-15T17:38:53.761264,181.8040491,55.6536359,,first_detection,,,,created_at_dossier_only,17572.1447668205,dossier_only
2025adhz,grandma_base,other,False,,0,0,0,True,True,False,True,False,2025-11-14T08:54:25.425103,2025-11-15T17:25:35.510698,184.916369,57.1677779,,first_detection,,,,created_at_dossier_only,17572.1447668205,dossier_only
2025adia,grandma_base,other,False,,0,0,0,True,True,False,True,False,2025-11-14T08:54:25.819106,2025-11-15T17:19:11.066348,169.569004,35.985827,,first_detection,,,,created_at_dossier_only,17572.1447668205,dossier_only
2025adib,grandma_base,other,False,,0,0,0,True,True,False,True,False,2025-11-14T08:54:26.186999,2025-11-15T17:27:17.780416,169.0767857,39.8634354,,first_detection,,,,created_at_dossier_only,17572.1447668205,dossier_only
2025adic,grandma_base,other,False,,0,0,0,True,True,False,True,False,2025-11-14T08:54:26.540880,2025-11-15T17:35:42.943665,169.5444856,41.094776,,first_detection,,,,created_at_dossier_only,17572.1447668205,dossier_only
2025adid,grandma_base,other,False,,0,0,0,True,True,False,True,False,2025-11-14T08:54:26.896427,2025-11-15T17:37:18.176748,190.8111907,57.3288988,,first_detection,,,,created_at_dossier_only,17572.1447668205,dossier_only
2025adie,grandma_base,other,False,,0,0,0,True,True,False,True,False,2025-11-14T08:54:27.273385,2025-11-15T17:32:12.370023,185.3959656,56.586273,,first_detection,,,,created_at_dossier_only,17572.1447668205,dossier_only
2025adkl,grandma_base,other,False,,0,0,1,False,True,True,False,False,2025-11-15T00:46:35.358456,2025-11-15T00:46:35.358456,7.535766098487186,-41.078709318686045,,first_detection,,,,created_at_dossier_only,17572.1447668205,dossier_only
2025aji,grandma_base,other,True,60704.19802083,4,8,1,True,True,True,True,False,2025-01-29T06:54:40.936007,2026-06-19T15:04:12.195191,198.67673,5.03063,2.151,first_detection,,,,skyportal_t0,0,phase_matching
2025azm,grandma_base,other,False,,0,3,2,False,True,True,True,False,2025-02-07T04:50:27.665981,2025-02-07T09:24:05.713496,2.031278,32.56575,,first_detection,,,,created_at_dossier_only,17572.1447668205,dossier_only
2025azn,grandma_base,other,False,,0,4,2,False,True,True,True,False,2025-02-07T05:22:51.228966,2025-02-07T08:34:51.524353,39.822573,49.572528,,first_detection,,,,created_at_dossier_only,17572.1447668205,dossier_only
2025baf,grandma_base,other,False,,0,0,2,False,True,False,True,False,2025-02-07T12:53:29.302033,2025-02-07T12:53:29.302033,158.506624546,-29.7469922495,,first_detection,,,,created_at_dossier_only,17572.1447668205,dossier_only
2025bag,grandma_base,other,False,,0,0,2,False,True,False,True,False,2025-02-07T13:05:37.351959,2025-02-08T16:33:16.485024,154.61373487,-26.7329055976,,first_detection,,,,created_at_dossier_only,17572.1447668205,dossier_only
2025bah,grandma_base,other,False,,0,0,2,False,True,False,True,False,2025-02-07T13:09:40.932643,2025-02-07T13:09:40.932643,152.779895922,-21.3745584038,,first_detection,,,,created_at_dossier_only,17572.1447668205,dossier_only
2025bai,grandma_base,other,False,,0,0,2,False,True,False,True,False,2025-02-07T13:50:13.275577,2025-02-07T13:50:13.275577,151.935085324,-20.3429319805,,first_detection,,,,created_at_dossier_only,17572.1447668205,dossier_only
2025baj,grandma_base,other,False,,0,0,2,False,True,False,True,False,2025-02-07T13:54:16.910018,2025-02-07T13:54:16.910018,156.516533253,-28.3455340139,,first_detection,,,,created_at_dossier_only,17572.1447668205,dossier_only
2025bam,grandma_base,other,False,,0,0,2,False,True,False,True,False,2025-02-07T14:26:41.537375,2025-02-07T14:26:41.537375,152.008806792,-19.8407718568,,first_detection,,,,created_at_dossier_only,17572.1447668205,dossier_only
2025ban,grandma_base,other,False,,0,0,2,False,True,False,True,False,2025-02-07T14:30:43.926049,2025-02-07T14:30:43.926049,152.917705546,-18.9522025627,,first_detection,,,,created_at_dossier_only,17572.1447668205,dossier_only
2025bao,grandma_base,other,False,,0,0,2,False,True,False,False,False,2025-02-07T15:08:03.971033,2025-02-07T15:08:03.971033,169.237557,-45.541414,,first_detection,,,,created_at_dossier_only,17572.1447668205,dossier_only
2025bap,grandma_base,other,False,,0,0,2,False,True,False,False,False,2025-02-07T15:59:50.632354,2025-02-07T15:59:50.632354,153.859024735,-30.0970755628,,first_detection,,,,created_at_dossier_only,17572.1447668205,dossier_only
2025bar,grandma_base,other,False,,0,0,2,False,True,False,False,False,2025-02-07T16:52:30.613694,2025-02-08T16:33:17.045880,170.681922,-45.574606,,first_detection,,,,created_at_dossier_only,17572.1447668205,dossier_only
2025bay,grandma_base,other,False,,0,2,4,False,True,True,False,False,2025-02-08T05:06:45.551472,2025-02-08T08:27:12.241592,7.5048808,37.1683311,,first_detection,,,,created_at_dossier_only,17572.1447668205,dossier_only
2025baz,grandma_base,other,False,,0,2,4,False,True,True,False,False,2025-02-08T05:39:10.087781,2025-02-08T08:26:31.143308,34.8607539,47.5471076,,first_detection,,,,created_at_dossier_only,17572.1447668205,dossier_only
2025gcz,grandma_base,other,True,60761.88295139,3,6,2,False,True,True,True,False,2025-03-27T22:27:19.559221,2025-03-31T21:02:41.717666,176.778049,29.840159,3.035,first_detection,,,,skyportal_t0,0,phase_matching
2025shz,grandma_base,other,False,,0,0,0,False,True,True,True,False,2025-07-27T02:54:32.240018,2025-07-29T06:36:04.462560,231.07243361714646,-37.622633689371995,,first_detection,,,,created_at_dossier_only,17572.1447668205,dossier_only
2025sib,grandma_base,other,False,,0,1,0,False,True,True,True,False,2025-07-27T02:54:32.961088,2025-07-31T09:15:22.404461,235.548953,-35.002893,,first_detection,,,,created_at_dossier_only,17572.1447668205,dossier_only
2025srk,grandma_base,other,False,,0,0,0,False,True,True,True,False,2025-07-31T00:25:28.502479,2025-07-31T00:25:28.502479,234.755524,-36.425993,,first_detection,,,,created_at_dossier_only,17572.1447668205,dossier_only
2025srl,grandma_base,other,False,,0,0,0,False,True,True,True,False,2025-07-31T10:46:37.096715,2025-07-31T10:46:52.370672,234.90473,-36.726032,,first_detection,,,,created_at_dossier_only,17572.1447668205,dossier_only
2025srm,grandma_base,other,False,,0,0,0,False,True,True,True,False,2025-07-31T10:56:30.144173,2025-07-31T10:56:40.383990,232.987656,-36.816564,,first_detection,,,,created_at_dossier_only,17572.1447668205,dossier_only
2025ssf,grandma_base,other,False,,0,0,0,False,True,True,False,False,2025-07-31T13:35:46.955375,2025-07-31T13:35:54.891592,99.02238,-36.026584,,first_detection,,,,created_at_dossier_only,17572.1447668205,dossier_only
2025ssg,grandma_base,other,False,,0,0,0,False,True,True,False,False,2025-07-31T13:38:09.456999,2025-07-31T13:40:03.035983,97.813775,-36.075323,,first_detection,,,,created_at_dossier_only,17572.1447668205,dossier_only
2025ssh,grandma_base,other,False,,0,0,0,False,True,True,False,False,2025-07-31T13:39:28.489198,2025-07-31T13:39:38.919344,97.339644,-36.600508,,first_detection,,,,created_at_dossier_only,17572.1447668205,dossier_only
