source_id,circular_id,observation_time_utc,mag_skyportal,mag_circular,mag_difference,band_skyportal,band_circular,bands_agree,instrument_skyportal,instrument_circular,match_status
2025gcz,39889,2025-03-27 21:28:15.000384285+00:00,14.099999999999998,14.1,-1.7763568394002505e-15,bessellr,R,False,GCN,,family_order_match
2025gcz,39890,2025-03-27 21:19:07.996800138+00:00,14.2,,,bessellv,,,GCN,,not_found
2025gcz,39890,2025-03-27 21:19:07.996800138+00:00,15.8,,,bessellr,,,GCN,,not_found
2025gcz,39894,2025-03-27 21:14:19.000000265+00:00,14.73,14.73,0.0,sdssi,i,False,GCN,,time_match
2025gcz,39894,2025-03-27 21:14:19.000000265+00:00,16.53,16.53,0.0,sdssg,g,False,GCN,,time_match
2025gcz,39894,2025-03-27 21:18:21.000000254+00:00,13.83,13.83,0.0,sdssz,z,False,GCN,,time_match
2025gcz,39894,2025-03-27 21:18:21.000000254+00:00,14.67,14.67,0.0,sdssr,r,False,GCN,,time_match
2025gcz,39896,2025-03-28 02:38:49.999999842+00:00,18.8,18.8,0.0,sdssi,i,False,GCN,,family_order_match
2025gcz,39896,2025-03-28 02:38:49.999999842+00:00,19.4,19.4,0.0,sdssr,r,False,GCN,,family_order_match
2025gcz,39896,2025-03-28 02:38:49.999999842+00:00,20.07,20.7,-0.629999999999999,sdssg,g,False,GCN,,family_order_match
2025gcz,39897,2025-03-28 04:32:59.999999953+00:00,20.01,20.01,0.0,sdssr,r,False,GCN,,time_match
2025gcz,39902,2025-03-28 00:18:15.551999982+00:00,17.98,,,sdssi,,,GCN,,not_found
2025gcz,39902,2025-03-28 00:18:15.551999982+00:00,18.47,18.47,0.0,sdssr,r,False,GCN,,time_match
2025gcz,39902,2025-03-28 00:20:19.967999982+00:00,17.98,17.98,0.0,sdssi,i,False,GCN,,time_match
2025gcz,39902,2025-03-28 00:22:24.383999982+00:00,19.87,19.87,0.0,sdssg,g,False,GCN,,time_match
2025gcz,39902,2025-03-28 00:24:33.983999853+00:00,17.82,17.82,0.0,sdssz,z,False,GCN,,time_match
2025gcz,39904,2025-03-28 02:18:54.000000005+00:00,21.9,,,bessellb,,,GCN,,not_found
2025gcz,39906,2025-03-27 23:12:17.999999853+00:00,16.45,,,besselli,,,GCN,,not_found
2025gcz,39906,2025-03-27 23:12:17.999999853+00:00,21.9,,,besselli,,,GCN,,not_found
2025gcz,39906,2025-03-27 23:12:59.000000005+00:00,17.8,,,bessellv,,,GCN,,not_found
2025gcz,39906,2025-03-27 23:13:35.999999855+00:00,17.15,,,bessellr,,,GCN,,not_found
2025shz,41206,2025-07-28 23:13:53.999904103+00:00,22.36,,,sdssr,,,GCN,,not_found
2025shz,41206,2025-07-28 23:13:53.999904103+00:00,22.77,,,sdssg,,,GCN,,not_found
2025sib,41206,2025-07-28 23:13:53.999904103+00:00,20.7,,,sdssr,,,GCN,,not_found
2025sib,41206,2025-07-28 23:13:53.999904103+00:00,20.72,,,sdssz,,,GCN,,not_found
2025sib,41206,2025-07-28 23:13:53.999904103+00:00,21.72,,,sdssg,,,GCN,,not_found
2025sib,41213,2025-07-13 08:51:00.000000129+00:00,20.2,20.2,0.0,gotol,L,False,GCN,,time_match
2025sib,41213,2025-07-21 10:11:00.000000055+00:00,20.8,20.8,0.0,gotol,L,False,GCN,,family_order_match
2025srk,41206,2025-07-25 23:13:43.000000233+00:00,21.0,,,sdssr,,,GCN,,not_found
2025srk,41206,2025-07-25 23:13:43.000000233+00:00,21.27,,,sdssi,,,GCN,,not_found
2025srk,41206,2025-07-25 23:13:43.000000233+00:00,21.51,,,sdssg,,,GCN,,not_found
2025srk,41206,2025-07-25 23:13:43.000000233+00:00,22.06,,,sdssz,,,GCN,,not_found
2025srl,41206,2025-07-25 23:13:43.000000233+00:00,19.74,,,sdssi,,,GCN,,not_found
2025srl,41206,2025-07-25 23:13:43.000000233+00:00,23.55,,,sdssg,,,GCN,,not_found
2025srm,41206,2025-07-25 23:13:43.000000233+00:00,21.21,,,sdssz,,,GCN,,not_found
2025srm,41206,2025-07-25 23:13:43.000000233+00:00,22.07,,,sdssr,,,GCN,,not_found
2025srm,41206,2025-07-25 23:13:43.000000233+00:00,22.43,,,sdssg,,,GCN,,not_found
2025srm,41206,2025-07-25 23:13:43.000000233+00:00,22.74,,,sdssi,,,GCN,,not_found
2026owq,44903,2026-06-10 23:58:49.999999981+00:00,16.66,16.66,0.0,gotol,L,False,GCN,,time_match
2026owq,44903,2026-06-11 01:10:13.999999987+00:00,17.83,17.83,0.0,gotol,L,False,GCN,,family_order_match
2026owq,44905,2026-06-11 05:18:30.000384155+00:00,18.82,18.82,0.0,ps1::w,w,False,GCN,,family_order_match
2026owq,44909,2026-06-11 08:22:08.000000094+00:00,19.113287296387885,18.92,0.1932872963878829,bessellr,R,False,GCN,,time_match
2026owq,44910,2026-06-10 23:13:22.368000267+00:00,20.2,20.2,0.0,ps1::w,w,False,GCN,,family_order_match
2026owq,44910,2026-06-10 23:33:44.927999870+00:00,20.35,20.35,0.0,ps1::w,w,False,GCN,,family_order_match
2026owq,44910,2026-06-10 23:54:08.351999766+00:00,16.26,16.26,0.0,ps1::w,w,False,GCN,,family_order_match
2026owq,44910,2026-06-11 00:14:30.912000+00:00,16.29,16.29,0.0,ps1::w,w,False,GCN,,family_order_match
2026owq,44911,2026-06-11 07:32:00.000095948+00:00,19.48,19.48,0.0,sdssg,g,False,GCN,,family_order_match
2026owq,44911,2026-06-11 07:32:00.000095948+00:00,19.02,19.02,0.0,sdssr,r,False,GCN,,family_order_match
2026owq,44911,2026-06-11 07:32:00.000095948+00:00,18.61,18.61,0.0,sdssi,i,False,GCN,,family_order_match
2026owq,44911,2026-06-11 07:32:00.000095948+00:00,18.54,18.54,0.0,sdssz,z,False,GCN,,family_order_match
2026owq,44914,2026-06-11 02:35:22.560000233+00:00,18.5,18.85,-0.3500000000000014,sdssg,g,False,GCN,,time_match
2026owq,44914,2026-06-11 02:36:57.599999714+00:00,18.4,18.4,0.0,sdssr,r,False,GCN,,time_match
2026owq,44914,2026-06-11 02:38:24.000000051+00:00,18.14,18.14,0.0,sdssi,i,False,GCN,,time_match
