layer,feature,matched_pairs,equal,accuracy,missing_automatic,missing_expert
EVENT_EVIDENCE,target,188,188,1.00000000,0,0
EVENT_EVIDENCE,certainty,188,182,0.96808511,0,0
EVENT_EVIDENCE,value,188,179,0.95212766,8,0
EVENT_EVIDENCE,unit,188,185,0.98404255,3,0
EVENT_EVIDENCE,comment,188,174,0.92553191,9,0
PHOTOMETRIC_MEASUREMENT,target,68,68,1.00000000,0,0
PHOTOMETRIC_MEASUREMENT,certainty,68,62,0.91176471,0,0
PHOTOMETRIC_MEASUREMENT,magnitude_or_limit,68,64,0.94117647,0,0
PHOTOMETRIC_MEASUREMENT,magnitude_error,68,68,1.00000000,0,0
PHOTOMETRIC_MEASUREMENT,limit_sigma,68,64,0.94117647,4,0
PHOTOMETRIC_MEASUREMENT,unit,68,68,1.00000000,0,0
PHOTOMETRIC_MEASUREMENT,photometric_band,68,68,1.00000000,0,0
PHOTOMETRIC_MEASUREMENT,photometric_system,68,68,1.00000000,0,0
PHOTOMETRIC_MEASUREMENT,obs_time_raw,68,56,0.82352941,4,0
PHOTOMETRIC_MEASUREMENT,obs_time_type,68,57,0.83823529,0,0
PHOTOMETRIC_MEASUREMENT,obs_time_reference,68,22,0.32352941,0,0
PHOTOMETRIC_MEASUREMENT,exposure_time_raw,68,53,0.77941176,15,0
PHOTOMETRIC_MEASUREMENT,timezone_raw,68,47,0.69117647,21,0
PHOTOMETRIC_MEASUREMENT,instrument,68,2,0.02941176,58,0
PHOTOMETRIC_MEASUREMENT,comment,68,47,0.69117647,15,0
